text,label,label_text
"Bitcoin alcanza nuevo máximo histórico y supera los $70,000 dólares",positive,positive
La bolsa de Quito cierra con ganancias del 2.3% impulsada por acciones bancarias,positive,positive
Ecuador registra superávit comercial por tercer mes consecutivo,positive,positive
Ethereum sube 8% tras anuncio de actualización de red exitosa,positive,positive
El Banco Pichincha reporta utilidades récord en el primer trimestre,positive,positive
Las exportaciones de camarón ecuatoriano crecen 15% en 2024,positive,positive
Inversores recuperan confianza en mercados emergentes de Latinoamérica,positive,positive
El PIB de Ecuador crece 2.1% superando las expectativas del mercado,positive,positive
Bitcoin se recupera con fuerza tras corrección temporal del mercado,positive,positive
Las criptomonedas registran su mejor semana del año con ganancias generalizadas,positive,positive
Bitcoin colapsa un 15% en las últimas 24 horas generando pánico en el mercado,negative,negative
Ecuador enfrenta déficit fiscal creciente que preocupa a inversores internacionales,negative,negative
La inflación en Ecuador sube al 4.2% afectando el poder adquisitivo,negative,negative
Crisis bancaria en Ecuador: tres entidades reportan problemas de liquidez,negative,negative
Ethereum cae 12% tras noticias regulatorias en Estados Unidos,negative,negative
Las exportaciones de petróleo ecuatoriano disminuyen ante caída del precio del barril,negative,negative
El desempleo en Ecuador sube al 4.8% en el tercer trimestre del año,negative,negative
Mercados de Latinoamérica caen arrastrados por incertidumbre económica global,negative,negative
Bitcoin en mínimos de seis meses tras intensificación de regulación cripto,negative,negative
La deuda externa de Ecuador alcanza niveles preocupantes según el FMI,negative,negative
El Banco Central del Ecuador publica su informe trimestral de política monetaria,neutral,neutral
"Bitcoin cotiza alrededor de los $45,000 dólares en las últimas horas",neutral,neutral
La Superintendencia de Bancos presenta nuevas normativas de capital para 2025,neutral,neutral
El índice IECX de la Bolsa de Valores de Quito cierra sin cambios significativos,neutral,neutral
La Reserva Federal mantiene las tasas de interés sin modificaciones,neutral,neutral
Ethereum actualiza su protocolo según lo planificado por los desarrolladores,neutral,neutral
El volumen de transacciones en la bolsa de Guayaquil se mantiene estable,neutral,neutral
Ecuador firma acuerdo comercial de rutina con Colombia para el sector agrícola,neutral,neutral
Las tasas activas referenciales del BCE se mantienen en los niveles anteriores,neutral,neutral
Bitcoin registra movimientos laterales en un rango de precio definido,neutral,neutral
